#percentage  seed  absolute_enhancement  relative_enhancement
10 -56548 176.50059724532699689505 109.93867823617812267367
10 -28293 308.60829587126056851042 267.54476420912600933205
10 -28304 258.72664031101319055606 199.19595716659696118722
10 -28586 333.08387635131701204710 1110.13425340625722310560
10 -28383 294.39644012372798716733 49.12420631902384074091
10 -56998 383.57243039293880894821 149.87583400538442343810
10 -28749 387.39644883475577703505 433.02532352799833828023
10 -28675 362.20629797311945507278 546.32396895513349487859
10 -28713 260.74995120690901633700 82.00656835703552478850
10 -28743 337.88440055936149375527 278.10389934417070160671
10 -28902 322.22079997406227986734 128.27218275023031002213
20 -37514 411.19802210214305058143 803.69069693521465543041
20 -37549 311.92658186168189986004 89.11201288202069213478
20 -37601 315.63664667418670130063 212.13169760444697732529
20 -37989 275.66834122667189718270 420.04734637835360300746
20 -38190 291.95213596673456600996 126.22606461602178274040
20 -38327 288.84303679115859830215 421.19771499202230185644
20 -38331 301.39946071382751011639 4450.80964834361526235702
20 -76782 421.75000874422971766018 155.37528965024143458130
20 -38484 424.49913499925620402138 1822.08015195352670335015
20 -38881 401.87906332483525803744 144.12343062828861064829
20 -39040 332.48419253320650545982 187.65357642205334933283
20 -78196 374.05799968836640332815 357.76044844095236003464
20 -38930 256.84495978509890170353 279.33550254564449804154
20 -39054 296.82036914181767877434 1472.43291384776099264895
20 -78264 390.70877510584334245284 193.54473076744645772893
20 -78412 428.52054712900310016217 453.87213543519381811582
20 -39264 233.06874013150729883928 68.12793036917832218051
20 -39616 312.60585430321348567798 20417.18311406947948081165
20 -39597 328.07332023603762173785 172.47172931004042660865
20 -39667 382.84618274943551244985 395.14423111893247565389
20 -79438 305.84436099723002017064 248.89960594374329403119
20 -39805 194.56964581780274553877 31841.59918984945725063586
20 -39922 300.68469865349099553471 66.29468251374007995598
20 -39867 183.10060618935534672504 288.64689099001746246862
20 -79932 435.66445873820105869915 211.38348945293900909483
20 -40010 395.33194255882280354340 76.96517239823726121097
20 -40052 395.13134336118901682650 99.97120077307843225191
20 -40085 326.65629565416516244348 36.86119361448863222631
20 -40116 299.84856103751920474103 1840.34088839164541522945
20 -161884 381.00226639233963916877 339.81443287162446143118
20 -80598 190.20795512015597167519 424.17313414577833331592
20 -40377 412.59385137705310461968 233.59099663727131271965
20 -40438 280.55658630385359757773 273.30404378722207822921
20 -80900 399.00150750720594651244 204.57341490070280687579
20 -162220 154.02984437812825232225 202.65801712614098582099
20 -41346 391.37933237553008008323 71.03565682194626354735
20 -41438 417.57576367307745663043 812.03721828273388448066
20 -41516 266.55099450859619057740 152.78226373376202378667
20 -41625 273.67052744350119818975 132.05536826767574487267
20 -83414 257.56038248590066909943 263.96900800889769245816
20 -167032 404.57384090109358002905 44.63531399095947373179
20 -84026 405.75572283030701826315 330.15348612011403313885
20 -84668 262.44381541237127339090 806.22098325723611266657
20 -84076 330.51633053940593671143 44.84923817010091512410
20 -84288 396.59489281854995552209 145.30292267916742268274
20 -84472 176.00276220022742917944 292.34994092605303752372
20 -84710 303.50537381769226423564 1694.60881755003023378445
20 -42409 251.20633368585999476030 203.05222649014497481834
20 -42982 292.17818389309861887451 33.96677768043987635222
20 -47476 306.74588945440065237154 307.71227091722527053439
30 -3413 234.40538703409366134541 188.67935820471042875812
30 -3545 178.77267939000428411349 390.28619445935819655927
30 -3558 217.62724494018659585358 2657.77143482009737242842
30 -34708 301.18912538834654286861 291.76810980555524925375
30 -53500 418.19775851739458745302 68.36271190140587288971
