 # row    column    phase
           1           1   1.45407925838517     
           1           2   4.96386914027924     
           1           3   1.29349300729216     
           1           4   1.17619596561192     
           1           5   6.21056758858015     
           1           6   4.87843688367327     
           1           7   3.90508026680587     
           1           8   3.47053253554975     
           1           9   3.37719160264700     
           1          10   3.48566590028733     
           1          11   2.99247422027102     
           1          12   3.66425456930102     
           1          13   3.74245532290243     
           1          14   3.80296233235345     
           1          15  0.933755293357397     
           1          16   5.78893966206273     
           1          17   2.94276460733019     
           1          18   5.35485882575427     
           1          19   1.89936309081702     
           1          20   1.87736350376354     
           2           1   4.63822235537339     
           2           2  0.186359941409601     
           2           3   5.59163763770678     
           2           4   1.21867628066410     
           2           5   1.49922166041413     
           2           6   5.45364201926421     
           2           7   4.36082154018936     
           2           8   3.48200809032993     
           2           9   3.37019554873867     
           2          10   3.29751665449516     
           2          11   3.18881012514122     
           2          12   4.10361903591981     
           2          13   5.11309922761158     
           2          14   5.26679395234240     
           2          15   3.31482251485918     
           2          16   2.76346834284379     
           2          17  0.654196991842987     
           2          18   5.49780356158744     
           2          19   5.17339454934904     
           2          20   1.88577217857346     
           3           1   1.41575168396198     
           3           2   5.08502359900644     
           3           3   4.80490929369836     
           3           4  0.749127404341913     
           3           5   5.11907796566105     
           3           6   1.64691377208275     
           3           7   1.55398144740448     
           3           8   3.26818170979082     
           3           9   2.98307683206829     
           3          10   3.14564682519655     
           3          11   3.43478483011804     
           3          12  0.184789011168960     
           3          13   1.81530223179113     
           3          14   5.51297317406054     
           3          15   5.83587932393417     
           3          16   2.64307880603978     
           3          17  0.400555390836345     
           3          18   5.10227250792612     
           3          19   4.75275207792864     
           3          20   2.04881757598259     
           4           1   5.56834512553050     
           4           2   1.48026550655193     
           4           3   6.24167038205895     
           4           4   1.53641235482101     
           4           5   6.07094585390656     
           4           6   6.00504754079025     
           4           7  0.528575319107390     
           4           8  0.533132214702575     
           4           9   3.41204955536250     
           4          10   3.90764071655762     
           4          11   2.46159042893894     
           4          12  0.787634014696086     
           4          13  0.815937040772397     
           4          14   6.08309765679736     
           4          15   2.40591823983123     
           4          16  0.931836946004722     
           4          17  0.991996523716177     
           4          18   4.93959339842615     
           4          19   4.86217551384116     
           4          20   2.21879962212805     
           5           1   2.05798555562908     
           5           2   2.06360259127184     
           5           3   5.24832997516008     
           5           4   1.60252112072634     
           5           5   5.91085721844183     
           5           6   6.21145756794320     
           5           7   5.01512076071778     
           5           8   1.99873923544351     
           5           9   5.23272442088345     
           5          10  0.409611524171756     
           5          11   3.46605727197395     
           5          12   3.34423119401052     
           5          13   1.16583919128547     
           5          14   2.55134300413696     
           5          15   3.91684470527981     
           5          16   3.91718461131635     
           5          17   5.97374587557160     
           5          18   1.74799038904739     
           5          19  0.286068398789610     
           5          20   5.61954860981601     
           6           1   2.09541635335339     
           6           2   2.28115697032415     
           6           3   5.25993507471064     
           6           4  0.725204493136738     
           6           5   6.08943142582246     
           6           6   5.54264253819861     
           6           7   5.01309924843668     
           6           8   2.20294965453244     
           6           9   2.42603852747256     
           6          10   3.32848616954143     
           6          11   4.72925361848962     
           6          12   1.53458761338998     
           6          13   1.46633329659012     
           6          14   2.31526558697132     
           6          15   4.40419250821883     
           6          16   4.59033172989100     
           6          17   5.78140143014539     
           6          18   1.13489089507726     
           6          19   1.69075940272226     
           6          20   1.14440824489423     
           7           1   4.99375527228322     
           7           2   4.98339354000522     
           7           3   5.02487405090308     
           7           4   5.40001804324768     
           7           5   5.32434187329736     
           7           6   2.55044415276153     
           7           7   3.79046761761684     
           7           8   2.03750080239439     
           7           9   3.48015692409761     
           7          10   5.69834486161649     
           7          11   3.20406341829959     
           7          12  0.384413039909882     
           7          13  0.811767380571065     
           7          14   1.32160481928598     
           7          15   1.90819013263062     
           7          16   1.58290261924454     
           7          17   6.10348877006688     
           7          18   5.99894435133276     
           7          19  0.569090324754408     
           7          20  0.205149191080541     
           8           1   4.94732688651814     
           8           2   4.90562593055197     
           8           3   4.87935646451297     
           8           4   4.45156877728701     
           8           5   3.36202660338414     
           8           6   3.02205283458061     
           8           7   2.61670541574180     
           8           8   1.05581048884181     
           8           9   5.37779142406571     
           8          10   4.46837082077813     
           8          11  0.222808351551815     
           8          12   5.85020361895182     
           8          13   6.02246690246185     
           8          14   5.97623582362284     
           8          15   5.45461626787571     
           8          16   2.20859876777943     
           8          17   1.45933332078426     
           8          18   6.10673514605855     
           8          19   6.14602673476342     
           8          20   5.60947568755378     
           9           1   5.08762779173515     
           9           2   4.89210019275797     
           9           3   4.99229553080125     
           9           4   4.90318114564050     
           9           5   3.76478288994949     
           9           6   4.10684364325034     
           9           7   2.46401648572431     
           9           8   5.25877801432167     
           9           9  0.226730993616736     
           9          10   6.04354449432858     
           9          11   4.52246257936940     
           9          12   4.08599434794770     
           9          13   5.72825595264882     
           9          14   3.55495189671817     
           9          15   2.92539536617987     
           9          16   1.97951799817721     
           9          17   1.16847155447283     
           9          18   5.63116778600092     
           9          19   5.79605394114410     
           9          20   5.35867340975147     
          10           1   4.42012084694802     
          10           2   4.01846987376687     
          10           3   4.12844773210211     
          10           4   4.21088661872835     
          10           5   3.47000282444881     
          10           6   3.62414753448443     
          10           7   1.68156908244352     
          10           8   6.17642474432283     
          10           9   6.15112167120619     
          10          10   4.42990122020601     
          10          11   4.26444551566692     
          10          12   5.32450423783327     
          10          13   5.52892870920368     
          10          14   3.70009552365193     
          10          15   3.66801508321597     
          10          16   4.06071786528696     
          10          17   5.19960698329420     
          10          18   5.45680415254059     
          10          19   5.73427298902022     
          10          20  7.096810157418165E-002
          11           1   4.02276080799510     
          11           2   5.95420669214084     
          11           3   2.27439917309011     
          11           4   4.04668780069970     
          11           5   3.63566868192986     
          11           6   3.04778074827748     
          11           7   4.69885493807200     
          11           8   5.26283173703606     
          11           9   4.30162158778507     
          11          10  0.158507688293740     
          11          11   3.95928460653075     
          11          12   3.84184918506774     
          11          13   2.37799134433944     
          11          14   4.55880776137096     
          11          15   4.72138860846034     
          11          16   4.29224400895617     
          11          17   5.69447904769602     
          11          18  9.974346015805935E-002
          11          19  0.406494664345746     
          11          20   2.13918237945055     
          12           1   4.06791565448407     
